l,theo_coeff,own_coeff
0,0.5,0.49999999999999994
1,0.25,0.25000000000000017
2,0.125,0.12499999999999996
3,0.0625,0.06249999999999997
4,0.03125,0.03125000000000027
5,0.015625,0.01562500000000003
6,0.0078125,0.007812500000000331
7,0.00390625,0.003906249999999795
8,0.001953125,0.0019531249999993313
9,0.0009765625,0.0009765624999995056
10,0.00048828125,0.0004882812500006684
11,0.000244140625,0.00024414062500022226
12,0.0001220703125,0.000122070312500069
13,6.103515625e-5,6.1035156249444204e-5
14,3.0517578125e-5,3.051757812512117e-5
15,1.52587890625e-5,1.5258789062812694e-5
16,7.62939453125e-6,7.629394531429253e-6
17,3.814697265625e-6,3.8146972655276713e-6
18,1.9073486328125e-6,1.9073486328400375e-6
19,9.5367431640625e-7,9.536743154784679e-7
20,4.76837158203125e-7,4.768371582335504e-7
21,2.384185791015625e-7,2.384185793938931e-7
22,1.1920928955078125e-7,1.1920929123797014e-7
23,5.960464477539063e-8,5.96046460974388e-8
24,2.9802322387695312e-8,2.980232259668712e-8
25,1.4901161193847656e-8,1.4901161560781743e-8
26,7.450580596923828e-9,7.450580947557337e-9
27,3.725290298461914e-9,3.725290898217332e-9
28,1.862645149230957e-9,1.8626451071794927e-9
29,9.313225746154785e-10,9.313231906306826e-10
30,4.656612873077393e-10,4.656610754861147e-10
31,2.3283064365386963e-10,2.3283107224334693e-10
32,1.1641532182693481e-10,1.1641596131672315e-10
33,5.820766091346741e-11,5.82079349781283e-11
34,2.9103830456733704e-11,2.910474292970067e-11
35,1.4551915228366852e-11,1.4552146774336016e-11
36,7.275957614183426e-12,7.27659153281494e-12
37,3.637978807091713e-12,3.638357741827838e-12
38,1.8189894035458565e-12,1.8201375739078447e-12
39,9.094947017729282e-13,9.101563372702142e-13
40,4.547473508864641e-13,4.557660190790813e-13
41,2.2737367544323206e-13,2.2774010739735546e-13
42,1.1368683772161603e-13,1.1428399899407215e-13
43,5.684341886080802e-14,5.71315011400866e-14
44,2.842170943040401e-14,2.882969207641586e-14
45,1.4210854715202004e-14,1.4444474311564848e-14
46,7.105427357601002e-15,7.20954087880592e-15
47,3.552713678800501e-15,3.686636770011231e-15
48,1.7763568394002505e-15,1.9310423378640233e-15
49,8.881784197001252e-16,8.849280831861791e-16
50,4.440892098500626e-16,5.152782807649842e-16
51,2.220446049250313e-16,1.9323570708805971e-16
52,1.1102230246251565e-16,7.079511712770122e-16
53,5.551115123125783e-17,9.647292005068062e-17
54,2.7755575615628914e-17,3.247481026791088e-16
55,1.3877787807814457e-17,-1.687521627537542e-16
56,6.938893903907228e-18,-5.278142974251511e-16
57,3.469446951953614e-18,-7.975794675274996e-17
58,1.734723475976807e-18,-8.124550127718203e-16
59,8.673617379884035e-19,-5.666370405201794e-16
60,4.336808689942018e-19,-6.366321641113908e-16
61,2.168404344971009e-19,1.2417690075481334e-16
62,1.0842021724855044e-19,3.7650226001250736e-17
63,5.421010862427522e-20,7.317768315255991e-17
64,2.710505431213761e-20,9.252090846707713e-17
65,1.3552527156068805e-20,1.6010758449815247e-16
66,6.776263578034403e-21,9.740509352799787e-16
67,3.3881317890172014e-21,3.7321242191913757e-16
68,1.6940658945086007e-21,1.901840390866527e-15
69,8.470329472543003e-22,5.561626167084122e-16
70,4.235164736271502e-22,2.0482282542915576e-15
71,2.117582368135751e-22,8.405369121341722e-16
72,1.0587911840678754e-22,1.8351191758353223e-15
73,5.293955920339377e-23,7.028387043994893e-16
74,2.6469779601696886e-23,8.7672581556751e-16
75,1.3234889800848443e-23,4.711471237216247e-16
76,6.617444900424222e-24,1.5393647689231074e-15
77,3.308722450212111e-24,9.378683519147045e-16
78,1.6543612251060553e-24,2.714654063456432e-15
79,8.271806125530277e-25,1.5886558116828228e-15
80,4.1359030627651384e-25,3.2134478855144018e-15
81,2.0679515313825692e-25,1.8573494142968546e-15
82,1.0339757656912846e-25,3.961010476432417e-15
83,5.169878828456423e-26,1.9538777692042075e-15
84,2.5849394142282115e-26,4.4993310431810424e-15
85,1.2924697071141057e-26,2.2656727666084344e-15
86,6.462348535570529e-27,4.498272445741177e-15
87,3.2311742677852644e-27,2.6734946605695977e-15
88,1.6155871338926322e-27,5.896187330511437e-15
89,8.077935669463161e-28,3.4693909863567804e-15
90,4.0389678347315804e-28,7.1021735520166576e-15
91,2.0194839173657902e-28,4.528230456309308e-15
92,1.0097419586828951e-28,1.0064729546635793e-14
93,5.048709793414476e-29,6.6398036955921904e-15
94,2.524354896707238e-29,1.5830975210607836e-14
95,1.262177448353619e-29,9.9688107908866e-15
96,6.310887241768095e-30,2.37047482845151e-14
97,3.1554436208840472e-30,1.5321260376089325e-14
98,1.5777218104420236e-30,3.639774778821606e-14
99,7.888609052210118e-31,2.399029441083406e-14
100,3.944304526105059e-31,5.82877168833228e-14
